0,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
Monthly Report for the month of January 2026 ,,,,,,,,,,
Sr ,Scheme Name ,"No. of Schemes as on January 31, 2026","No. of Folios as on January 31, 2026",Funds Mobilized for the month of January 2026 (INR in crore),Repurchase/Redemption for the month of January 2026 (INR in crore),Net Inflow (+ve)/Outflow (-ve) for the month of January 2026 (INR in crore),"Net Assets Under Management as on January 31, 2026 (INR in crore)",Average Net Assets Under Management for the month January 2026 (INR in crore),"No. of segregated portfolios created as on January 31, 2026","Net Assets Under Management in segregated portfolio as on January 31, 2026 (INR in crore)"
A,Open ended Schemes,,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,,
i,Overnight Fund,37,734569,657098.13697125,610818.08783477,46280.0491364803,126200.24577556,125565.39536273,0,0
ii,Liquid Fund,42,2514436,408835.01635988,378153.46244703,30681.5539128496,536753.20670841,565989.61702585,0,0
iii,Ultra Short Duration Fund,25,768654,29442.04454707,29186.67588912,255.368657949963,132482.34510576,136859.04170287,0,0
iv,Low Duration Fund,24,847633,22871.92206257,18092.74092581,4779.18113675999,152176.2256588,149428.32294505,0,0
v,Money Market Fund,27,523717,69043.59321412,56280.12128744,12763.4719266801,332151.98422394,328273.70990132,1,0
vi,Short Duration Fund,25,563688,5931.16454951999,8819.71318018,-2888.54863066001,133810.2083889,136139.32127963,0,0
vii,Medium Duration Fund,13,240538,276.48161323,384.11133749,-107.629724259999,26229.00769833,26273.4000508,2,0
viii,Medium to Long Duration Fund,13,101359,41.9562007,216.33057675,-174.37437605,11512.90157486,11555.98996275,0,0
ix,Long Duration Fund,11,82999,28.9110151300001,1365.240512,-1336.32949687,16221.17152598,16754.33746791,0,0
x,Dynamic Bond Fund,22,229369,202.80745061,1637.76074839,-1434.95329778,34718.25826871,35462.8739543,0,0
xi,Corporate Bond Fund,21,577039,1626.59835187999,13099.38999656,-11472.79164468,195400.06888728,201314.95437845,0,0
xii,Credit Risk Fund,14,196410,172.69281473,298.54252325,-125.84970852,19893.2254098,19933.05925865,4,0
xiii,Banking and PSU Fund,21,239116,514.354124240001,1733.234838,-1218.88071376,78169.94395751,78906.71779806,0,0
xiv,Gilt Fund,23,211129,459.22893424,1887.72175606,-1428.49282182,37115.92701992,37810.51296359,0,0
xv,Gilt Fund with 10 year constant duration,5,37098,67.39247174,80.44791087,-13.05543913,4865.29402175,4889.26948935,0,0
xvi,Floater Fund,12,197564,1890.39548709,1621.98018883,268.415298260003,52573.19235636,52680.26484447,0,0
,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),335,8065318,1198502.6961680003,1123675.5619525497,74827.13421544996,1890273.2065818703,1927836.7883857805,7,0
,,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,,
i,Multi Cap Fund,32,11272944,5043.04526273,3047.81317405,1995.23208868,216445.38892108,218817.57505425,0,0
ii,Large Cap Fund,33,16949451,5523.62901217,3518.65182964,2004.97718253,408303.50130638,413609.66550237,0,0
iii,Large & Mid Cap Fund,33,13434952,6423.91045071,3242.01955948,3181.89089123,324621.32522158,327288.01528755,0,0
iv,Mid Cap Fund,31,24168250,8259.57984919001,5074.10543079,3185.4744184,449438.76302239,454270.77133081,0,0
v,Small Cap Fund,34,27471864,8133.41694146,5191.30546309,2942.11147837,354789.97170459,359055.59063467,0,0
vi,Dividend Yield Fund,11,1202510,524.74233234,476.9138552,47.8284771399995,32451.32794667,32480.44907899,0,0
vii,Value Fund/Contra Fund,25,8885986,3054.7943744,2061.90684535,992.88752905,214214.78468865,215977.28429607,0,0
viii,Focused Fund,28,5450285,3280.79899009,1723.8434719,1556.95551819,171535.16248851,173290.06214351,0,0
ix,Sectoral/Thematic Funds,240,31681759,11116.92214208,10074.35754777,1042.56459431,523743.15011643,529376.93834588,0,0
x,ELSS,41,16501822,1479.04627239,2072.73877664,-593.692504250002,244287.63750869,247617.18099026,0,0
xi,Flexi Cap Fund,44,22515391,12827.39483699,5155.03481328,7672.36002371,546946.61441015,549566.708792,0,0
,Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),552,179535214,65667.28046455001,41638.690767190004,24028.589697359996,3486777.62733512,3521350.2414563606,0,0
,,,,,,,,,,
III,Hybrid Schemes,,,,,,,,,
i,Conservative Hybrid Fund,18,576220,424.27986911,501.493571800001,-77.2137026900004,29527.20377438,29674.29655294,1,0
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,31,6177349,3973.7079815,2295.54438738,1678.16359412,249182.02971814,252120.46850725,1,0
iii,Dynamic Asset Allocation/Balanced Advantage Fund,35,5624351,5279.51067633,3440.09599684,1839.41467949,319902.63682003,322414.83701184,0,0
iv,Multi Asset Allocation Fund,33,4592478,12139.13351365,1653.75271226,10485.38080139,174660.32231587,185088.94913086,0,0
v,Arbitrage Fund,36,762151,27817.43893867,24524.13934794,3293.29959073002,276654.07207346,333040.47966111,0,0
vi,Equity Savings Fund,25,528385,1981.84684188,1844.87623062,136.97061126,50740.46586491,55314.77908503,1,0
,Sub Total - III (i+ii+iii+iv+v+vi),178,18260934,51615.91782113999,34259.90224684,17356.015574300018,1100666.73056679,1177653.8099490302,3,0
,,,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,,
i,Retirement Fund,29,3049871,279.23072788,174.71369077,104.51703711,32044.11324269,32448.64347446,0,0
ii,Childrens Fund,12,3212128,309.12658818,71.8939698099999,237.23261837,25230.05351667,25380.15080634,0,0
,Sub Total - IV (i+ii),41,6261999,588.35731606,246.6076605799999,341.74965548,57274.16675936,57828.7942808,0,0
,,,,,,,,,,
V,Other Schemes,,,,,,,,,
i,Index Funds,354,14524940,8526.22221529001,8498.92539505,27.2968202400079,320493.8634555,322963.6431282,0,0
ii,GOLD ETF,25,11437218,24351.57736374,311.6168897,24039.96047404,184276.95609375,150380.66235501,0,0
iii,Other ETFs,289,26057440,34387.69612044,19381.8304025,15005.86571794,997350.40860863,979921.32761106,0,0
iv,Fund of funds investing overseas,52,1682977,1285.52006361,404.01516667,881.50489694,39229.08223425,38154.74231265,0,0
,Sub Total - V (i+ii+iii+iv),720,53702575,68551.01576308002,28596.38785392,39954.62790916001,1541350.3103921297,1491420.37540692,0,0
,,,,,,,,,,
,Total A-Open ended Schemes,1826,265826040,1384925.2675328304,1228417.1504810797,156508.11705174998,8076342.041635269,8176090.009478891,10,0
,,,,,,,,,,
B,Close Ended Schemes,,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,,
i,Fixed Term Plan,71,56325,0,0,0,14760.99330801,14731.16101389,0,0
ii,Capital Protection Oriented Schemes,0,0,0,0,0,0,0,0,0
iii,Infrastructure Debt Fund,3,19,0,0,0,908.4087023,906.0081569,0,0
iv,Other Debt Scheme,1,178857,15.41,49.4699999999999,-34.0599999999999,5067.75,5149.78,0,0
,Sub Total (i+ii+iii+iv),75,235201,15.41,49.4699999999999,-34.0599999999999,20737.152010309997,20786.949170789998,0,0
,,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,,
i,ELSS,15,251406,0,15.42499496,-15.42499496,4196.2202252,4258.50841021,0,0
ii,Other Equity Schemes,0,0,0,0,0,0,0,0,0
,Sub Total (i+ii),15,251406,0,15.42499496,-15.42499496,4196.2202252,4258.50841021,0,0
,,,,,,,,,,
III,Other Schemes,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
,Total B -Close ended Schemes,90,486607,15.41,64.8949949599999,-49.4849949599999,24933.372235509996,25045.457581,0,0
,,,,,,,,,,
C,Interval Schemes,,,,,,,,,
I,Income/Debt Oriented Schemes,3,914,0,0,0,30.1637,39.1507,0,0
,,,,,,,,,,
II,Growth/Equity Oriented Schemes,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
III,Other Schemes,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
,Total C Interval Schemes,3,914,0,0,0,30.1637,39.1507,0,0
,,,,,,,,,,
,Grand Total,1919,266313561,1384940.6775328303,1228482.0454760396,156458.63205679,8101305.577570779,8201174.617759892,10,0
,,,,,,,,,,
,Fund of Funds Scheme (Domestic) **,## 132,10633970,23858.54483433,12607.94115068,11250.60368365,216823.63326598,207522.034466,0,0
,,,,,,,,,,
** Data in respect Fund of Funds Domestic is shown for information only. The same is included in the respective underlying schemes.,,,,,,,,,,
"## Include NFOs  - Sundaram Income Plus Arbitrage Active FoF, The Wealth Company Gold ETF FOF, Bandhan Gold ETF FOF, Bandhan Silver ETF FOF, Motilal Oswal Diversified Equity Flexicap Passive Fund of Funds",,,,,,,,,,
